17:27:34	49	51	
17:27:44	51	52	
17:27:54	50	52	
17:28:04	47	52	
17:28:14	50	52	
17:28:24	50	52	
17:28:34	47	53	
17:28:44	47	53	
17:28:54	43	53	
17:29:04	47	52	
17:29:14	50	52	
17:29:24	50	53	
17:30:04	45	53	
17:30:14	47	53	
17:30:24	50	52	
17:30:34	48	52	
17:30:44	47	53	
17:30:54	50	53	
17:31:04	50	53	
17:31:14	52	54	
17:31:24	53	53	
17:31:34	53	53	
17:31:44	49	53	
17:31:54	49	52	
17:32:04	49	52	
17:32:14	47	52	
17:32:24	49	53	
17:32:34	49	53	
17:32:44	48	52	
17:32:54	48	53	
17:33:04	50	53	
17:33:12	48	53	
17:33:22	46	53	
17:33:32	47	53	
17:36:02	50	53	
17:36:12	49	53	
17:36:22	49	53	
17:36:32	50	53	
17:36:42	49	53	
17:36:52	51	53	
17:37:02	49	53	
17:37:12	52	53	
17:37:22	52	52	
17:37:32	53	53	
17:37:42	50	52	
17:37:52	49	53	
17:38:02	51	53	
17:38:12	51	52	
17:38:22	51	52	
17:38:32	48	51	
17:38:42	48	53	
17:38:52	49	53	
17:39:02	50	53	
17:39:12	52	53	
17:39:22	50	53	
17:39:32	50	54	
17:39:42	50	54	
17:39:52	51	53	
17:40:02	51	53	
17:40:12	51	53	
17:40:22	51	53	
17:40:32	50	53	
17:40:42	48	54	
17:40:52	51	52	
17:41:02	49	53	
17:41:12	52	53	
17:41:22	54	53	
17:41:32	53	54	
17:41:42	53	54	
17:41:52	56	53	
17:42:03	53	54	
17:42:12	56	53	
17:42:22	57	54	
17:42:32	55	54	
17:42:42	54	54	
17:42:52	53	54	
17:43:03	54	54	
17:43:12	49	54	
17:43:22	55	54	
17:43:32	55	53	
17:43:42	52	53	
17:43:52	49	53	
17:44:03	51	52	
17:44:12	56	53	
17:44:22	52	54	
17:44:32	50	53	
17:44:42	53	54	
17:44:52	53	54	
17:45:03	54	53	
17:45:12	54	53	
17:45:22	54	53	
17:45:32	54	53	
17:45:42	56	52	
17:45:52	54	53	
17:46:03	55	53	
17:46:12	54	51	
17:46:22	55	54	
17:46:32	54	50	
17:46:42	55	53	
17:46:52	54	53	
17:47:03	56	53	
17:47:12	56	54	
17:47:22	56	54	
17:47:32	56	54	
17:47:42	50	53	
17:47:52	54	53	
17:48:03	52	52	
17:48:12	53	54	
17:48:22	55	51	
17:48:32	55	51	
17:48:42	54	54	
17:48:52	54	53	
17:49:03	57	54	
17:49:12	56	53	
17:49:22	55	53	
17:49:32	56	53	
17:49:42	54	53	
17:49:52	54	53	
17:50:03	54	54	
17:50:12	51	54	
17:50:22	51	52	
17:50:32	55	50	
17:50:43	56	53	
17:50:52	51	53	
17:51:03	55	53	
17:51:12	53	54	
17:51:23	50	53	
17:51:33	51	54	
17:51:42	52	52	
17:51:53	55	54	
17:52:03	51	53	
17:52:13	56	53	
17:52:23	57	52	
17:52:32	51	53	
17:52:43	54	53	
17:52:53	50	53	
17:53:03	57	53	
17:53:13	53	53	
17:53:23	50	53	
17:53:33	54	53	
17:53:43	52	53	
17:53:53	50	54	
17:54:03	51	54	
17:54:13	49	52	
17:54:23	53	52	
17:54:33	52	52	
17:54:43	52	53	
17:54:53	49	54	
17:55:03	54	54	
17:55:13	53	54	
17:55:23	54	54	
17:55:33	49	53	
17:55:43	55	55	
17:55:53	48	53	
17:56:03	56	54	
17:56:13	55	54	
17:56:23	56	54	
17:56:33	56	53	
17:56:43	52	54	
17:56:53	50	53	
